Player,PlayerID,URLs,Pos,Age,Tm,G,GS,MP,MP/G,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,PER,OWS,DWS,WS,WS/48,atTwitter,twitter
Tony Allen,\allento01,http://www.basketball-reference.com/players/a/allento01.html,SG,35,MEM,68,63,1868,27.5,3.9,8.5,0.458,0.2,0.8,0.283,3.7,7.7,0.476,0.471,1.2,1.9,0.617,2.4,3.2,5.6,1.4,1.7,0.4,1.5,2.6,9.2,13.1,0.1,2.9,2.9,0.075,@aa000G9,aa000G9
Al-Farouq Aminu,\aminual01,http://www.basketball-reference.com/players/a/aminual01.html,SF,26,POR,58,24,1678,28.9,3.1,7.6,0.401,1.1,3.4,0.332,1.9,4.2,0.459,0.476,1.6,2.2,0.709,1.3,6.1,7.4,1.7,1,0.7,1.6,1.7,8.8,11.5,0.1,1.8,1.8,0.052,@farouq1,farouq1
Chris Andersen,\anderch01,http://www.basketball-reference.com/players/a/anderch01.html,C,38,CLE,12,0,114,9.5,0.8,1.8,0.409,0,0.3,0,0.8,1.6,0.474,0.409,0.8,1.2,0.714,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3,11.6,0.1,0.2,0.2,0.103,NA,NA
Alan Anderson,\anderal01,http://www.basketball-reference.com/players/a/anderal01.html,SF,34,LAC,30,0,308,10.3,1,2.7,0.375,0.5,1.5,0.318,0.5,1.2,0.444,0.463,0.4,0.5,0.75,0.1,0.7,0.8,0.4,0.1,0,0.2,1.2,2.9,5,0,0.1,0.1,0.018,@ASqared06,ASqared06
Justin Anderson,\anderju01,http://www.basketball-reference.com/players/a/anderju01.html,SF,23,TOT,71,6,1110,15.6,2.4,5.6,0.419,0.7,2.5,0.299,1.6,3.2,0.513,0.485,1.2,1.5,0.796,0.9,2.4,3.3,0.9,0.5,0.3,0.8,1.4,6.7,13.9,0.4,1.3,1.7,0.072,@JusAnderson1,JusAnderson1
Justin Anderson,\anderju01,http://www.basketball-reference.com/players/a/anderju01.html,SF,23,DAL,51,2,710,13.9,2.2,5.4,0.401,0.7,2.4,0.303,1.5,3,0.477,0.468,1.4,1.7,0.795,0.8,2.2,2.9,0.6,0.5,0.3,0.8,1.3,6.5,14.7,0.1,0.9,1,0.069,@JusAnderson1,JusAnderson1
Justin Anderson,\anderju01,http://www.basketball-reference.com/players/a/anderju01.html,SF,23,PHI,20,4,400,20,2.9,6.2,0.46,0.8,2.8,0.291,2.1,3.5,0.594,0.524,0.8,1,0.8,1.4,3,4.3,1.5,0.4,0.3,1,1.9,7.3,12.3,0.3,0.3,0.7,0.078,@JusAnderson1,JusAnderson1
Kyle Anderson,\anderky01,http://www.basketball-reference.com/players/a/anderky01.html,SG,23,SAS,68,13,928,13.6,1.2,2.7,0.454,0.2,0.5,0.4,1,2.2,0.467,0.492,0.6,0.7,0.82,0.4,2.4,2.8,1.2,0.7,0.4,0.5,0.8,3.3,12.6,0.7,1.8,2.5,0.131,@KyleAnderson5,KyleAnderson5
Ryan Anderson,\anderry01,http://www.basketball-reference.com/players/a/anderry01.html,PF,28,HOU,68,68,2028,29.8,4.5,10.8,0.414,2.8,6.9,0.398,1.7,3.8,0.442,0.542,1.9,2.2,0.857,1.6,3.1,4.7,0.9,0.5,0.2,0.8,2,13.5,13.1,3.7,1.2,4.9,0.116,NA,NA
Giannis Antetokounmpo,\antetgi01,http://www.basketball-reference.com/players/a/antetgi01.html,SF,22,MIL,77,77,2733,35.5,8.3,15.8,0.523,0.6,2.3,0.278,7.6,13.5,0.565,0.544,5.9,7.6,0.772,1.8,6.9,8.7,5.4,1.7,1.9,2.9,3.1,23.1,26.4,7.9,4.3,12.1,0.213,@Giannis_An34,Giannis_An34
Carmelo Anthony,\anthoca01,http://www.basketball-reference.com/players/a/anthoca01.html,SF,32,NYK,72,72,2484,34.5,8.2,18.8,0.434,2.1,5.8,0.36,6.1,13.1,0.467,0.489,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.5,17.8,3,1.6,4.6,0.089,@carmeloanthony,carmeloanthony
Joel Anthony,\anthojo01,http://www.basketball-reference.com/players/a/anthojo01.html,C,34,SAS,17,0,90,5.3,0.5,0.8,0.571,0,0,NA,0.5,0.8,0.571,0.571,0.1,0.1,1,0.4,0.9,1.3,0.1,0.1,0.2,0.2,0.6,1.1,11,0.1,0.2,0.3,0.134,NA,NA
